"ODPIdriveInput","Index","EnableTW","Xtr_Mode","NullDut","Xtr_Enable","Xtr_Type","Chip_Select","Chain","iforce_vsense_sel","Ioff","vForce (V)","vRange(V)","IVPair","Suitename","Testname"
"O_IDL_8XSNMOS_X071",71,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X072",72,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X073",73,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X074",74,"No",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X075",75,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X076",76,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X077",77,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X078",78,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X079",79,"No",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X080",80,"No",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X081",81,"No",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X082",82,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
