"Timing_corner","TestType","Spec_name","Value","Suite name","Test name"
"VSKEW_TET100_NOGB_pNONASYNC_pASYNC2_pASYNC3_WFT5X8_4_MPT","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.015","0","0"
"VSKEW_TET100_NOGB_pNONASYNC_pASYNC2_pASYNC3_WFT5X8_4_MPT","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"VSKEW_TET100_NOGB_pNONASYNC_pASYNC2_pASYNC3_WFT5X8_4_MPT","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1","0","0"
"LED_TET156_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"LED_TET156_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","0","0"
"LED_TET156_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"LED_TET156_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
"LED_USB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"LED_USB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","0","0"
"LED_USB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC2","1.075","0","0"
"LED_USB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"LED_USB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
"LED_USB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC2","1.01","0","0"
"LED_TET151_NOGB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"LED_TET151_NOGB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"LED_TET151_NOGB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"LED_TET151_NOGB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"LED_TET160_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT_ASV","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"LED_TET160_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT_ASV","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","0","0"
"LED_TET160_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT_ASV","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"LED_TET160_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT_ASV","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
"LED_TET96_NOGB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_ASV","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"LED_TET96_NOGB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_ASV","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"LED_TET96_NOGB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_ASV","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"LED_TET96_NOGB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_ASV","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"PBIST_NON_T0_pASYNC2_pASYNC3_pNONASYNC1_WFT11X4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"PBIST_NON_T0_pASYNC2_pASYNC3_pNONASYNC1_WFT11X4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","0","0"
"PBIST_NON_T0_pASYNC2_pASYNC3_pNONASYNC1_WFT11X4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"PBIST_NON_T0_pASYNC2_pASYNC3_pNONASYNC1_WFT11X4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
"PBIST_NON_T0_pASYNC2_pASYNC3_pNONASYNC1_WFT11X4_MPT_1212","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"PBIST_NON_T0_pASYNC2_pASYNC3_pNONASYNC1_WFT11X4_MPT_1212","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","0","0"
"PBIST_NON_T0_pASYNC2_pASYNC3_pNONASYNC1_WFT11X4_MPT_1212","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"PBIST_NON_T0_pASYNC2_pASYNC3_pNONASYNC1_WFT11X4_MPT_1212","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
"pASYNC1_pSCAN5_pPARA6_WFT10X4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"pASYNC1_pSCAN5_pPARA6_WFT10X4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"pASYNC1_pSCAN5_pPARA6_WFT10X4_MPT_1212","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"pASYNC1_pSCAN5_pPARA6_WFT10X4_MPT_1212","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"pASYNC1_pSCAN5_pPARA6_WFT10X4_MPT_1214_GB","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.012","0","0"
"pASYNC1_pSCAN5_pPARA6_WFT10X4_MPT_1214_GB","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.0","0","0"
"pASYNC1_pSCAN5_pPARA6_WFT10X4_MPT_1212_GB","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.012","0","0"
