"Timing_corner","TestType","Spec_name","Value","Suite name","Test name"
"a99pLOAD_pNOLOAD_pASY1_pASY3nALT_pASY5_WFT15X4","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pLOAD_pNOLOAD_pASY1_pASY3nALT_pASY5_WFT15X4","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","0","0"
"a99pLOAD_pNOLOAD_pASY1_pASY3nALT_pASY5_WFT15X4","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pLOAD_pNOLOAD_pASY1_pASY3nALT_pASY5_WFT15X4","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC5","1.075","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC5","1.01","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_3","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_3","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_3","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_3","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_4","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_4","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_4","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_4","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_5","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_5","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_5","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_5","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_6","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_6","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_6","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pLOAD_pNONLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_6","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pPARA6_pSCAN2_WFT4X4_1212","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pPARA6_pSCAN2_WFT4X4_1212","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pPARA6_pSCAN2_WFT4X4_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pPARA6_pSCAN2_WFT4X4_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pPARA7_pSCAN1_WFT4X4_1212","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pPARA7_pSCAN1_WFT4X4_1212","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pPARA7_pSCAN1_WFT4X4_1212_3","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.075","0","0"
"a99pPARA7_pSCAN1_WFT4X4_1212_3","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.01","0","0"
"a99pPARA7_pSCAN1_WFT4X4_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pPARA7_pSCAN1_WFT4X4_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pPARA7_pSCAN1_WFT4X4_1214_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.11","0","0"
"a99pPARA7_pSCAN1_WFT4X4_1214_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.01","0","0"
"a99pPARA7_pSCAN1_WFT4X4_1214_3","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.075","0","0"
"a99pPARA7_pSCAN1_WFT4X4_1214_3","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.01","0","0"
"a99pPARA7_pSCAN1_WFT4X4_1212_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.11","0","0"
"a99pPARA7_pSCAN1_WFT4X4_1212_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.01","0","0"
"a99pLOAD_pNOLOAD_LED_PHY_TET160_WFT5X4_MPT_1214_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pLOAD_pNOLOAD_LED_PHY_TET160_WFT5X4_MPT_1214_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pLOAD_pNOLOAD_LED_PHY_TET160_WFT5X4_MPT_1214_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pLOAD_pNOLOAD_LED_PHY_TET160_WFT5X4_MPT_1214_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pLOAD_pNOLOAD_LED_PHY_TET156_WFT5X4_MPT_1214_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pLOAD_pNOLOAD_LED_PHY_TET156_WFT5X4_MPT_1214_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pLOAD_pNOLOAD_LED_PHY_TET156_WFT5X4_MPT_1214_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pLOAD_pNOLOAD_LED_PHY_TET156_WFT5X4_MPT_1214_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pLOAD_pNOLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_USB","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pLOAD_pNOLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_USB","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pLOAD_pNOLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_USB","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pLOAD_pNOLOAD_pASY1_pASY3nALT_pASY5_WFT15X4_USB","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pLOAD_pNOLOAD_pASY1_pASY5_15X4_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pLOAD_pNOLOAD_pASY1_pASY5_15X4_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pLOAD_pNOLOAD_pASY1_pASY5_15X4_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pLOAD_pNOLOAD_pASY1_pASY5_15X4_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pLOAD_pNOLOAD_LED_TET234_WFT5X4_MPT_1214_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pLOAD_pNOLOAD_LED_TET234_WFT5X4_MPT_1214_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","0","0"
"a99pLOAD_pNOLOAD_LED_TET234_WFT5X4_MPT_1214_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC5","1.075","0","0"
"a99pLOAD_pNOLOAD_LED_TET234_WFT5X4_MPT_1214_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pLOAD_pNOLOAD_LED_TET234_WFT5X4_MPT_1214_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
"a99pLOAD_pNOLOAD_LED_TET234_WFT5X4_MPT_1214_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC5","1.01","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASY_WFT5X4_MPT_1212_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASY_WFT5X4_MPT_1212_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASY_WFT5X4_MPT_1212_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASY_WFT5X4_MPT_1212_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASY_WFT5X4_MPT_1214_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASY_WFT5X4_MPT_1214_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASY_WFT5X4_MPT_1214_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASY_WFT5X4_MPT_1214_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
"a99pLOAD_pNOLOAD_LED_PHY_XGE","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pLOAD_pNOLOAD_LED_PHY_XGE","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pLOAD_pNOLOAD_LED_PHY_XGE","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pLOAD_pNOLOAD_LED_PHY_XGE","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"LED_TET96_NOGB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"LED_TET96_NOGB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"LED_TET96_NOGB_pLOAD_pNOLOAD_pASYNC2_pASYNC3_WFT5X8_4_MPT","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
