"memInst","ctlrID","repairType","wordCount","wordSize","colMux","memBlock","block","efuseCfg","memIDBits","memIDSeq","memStartAddr","memEndAddr","numSlices","rgs[1]","rds[1]","wordStart[1]","wordStop[1]","rgs[2]","rds[2]","wordStart[2]","wordStop[2]","rgs[3]","rds[3]","wordStart[3]","wordStop[3]","rgs[4]","rds[4]","wordStart[4]","wordStop[4]","rgs[5]","rds[5]","wordStart[5]","wordStop[5]","rgs[6]","rds[6]","wordStart[6]","wordStop[6]","rgs[7]","rds[7]","wordStart[7]","wordStop[7]","rgs[8]","rds[8]","wordStart[8]","wordStop[8]","Suite name","Test name"
"1340","5","-1","1024","25","4","1","0","0","0","0","0","1023","1","0x10","0x00","1","25"
"1341","5","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x02","1","32"
"1342","5","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x03","1","32"
"1343","5","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x07","1","34"
"1344","5","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x03","1","42"
"1345","5","-1","512","28","4","1","0","0","0","0","0","511","1","0x21","0x00","1","28"
"1975","6","-1","256","54","4","1","0","0","0","0","0","255","2","0x08","0x00","1","32","0x08","0x01","1","22"
"1976","6","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x06","1","32"
"1977","6","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x01","1","34"
"1978","6","-1","4096","32","16","1","0","0","0","0","0","4095","1","0x2F","0x00","1","32"
"1979","6","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x02","1","32"
"1980","6","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x07","1","32"
"1981","6","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x01","1","32"
"1984","6","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x03","1","34"
"1985","6","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x00","1","42"
"1986","6","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x04","1","32"
