CheckIndex,CheckType,CheckDescription
0,set_pass OR set_fail,ERROR: These testsuite flags CAN break Category binning.
1,"InTestflow AND Bypassed AND NOT Bang (""!"") AND TT=1",ERROR: Major problem here.  Causes Bin 13.
2,InTestflow AND NOT InCategories,"ERROR: All Testsuites in this file use Category binning. (no stop bin or multi bin ""downstream"")."
3,NOT InTestflow AND TT=1,"WARNING: This testsuite MUST be in your flow (TT=1) even if bypassed, but it's not. Why?"
4,InTestflow AND TT=0,"WARNING: Potential test escape.  If this testsuite fails, you will not know."
5,InTestflow AND NOT InTestTypes,"WARNING: Defaults to ""1"" but you should probably add it to TestTypes to be explicit."
--------------------------------------
node_id,Suite,FailedChecks,BinSource,Bypassed?,TestTypeValue : FT_RPC_HT,"Bang? (""!"")",set_pass?,set_fail?,InTestflow?,InCategories?,InTestTypes?
18,USP_WRITE_EEPROM,"2,5",cat,Y,,,,,Y,,
385,TRANS_P08_VminSearch_st,4,cat,,0,Y,,,Y,Y,Y
107,IddqVmax_IqC08Ful_______LM10_006_st_end_FUNC,4,cat,Y,0,Y,,,Y,Y,Y
88,IddqVmin1_IqC08Ful_______LM10_006_st_CCE,5,cat,,,Y,,,Y,Y,
101,IddqVmax_IqC08Ful_______LM10_005_st_PM1_MEAS,4,cat,Y,0,Y,,,Y,Y,Y
168,SpeedSortVert_TRANS,"2,5",cat,,,,,,Y,,
358,PHY_PCIE_AtSpeedVmaxOK_st,4,cat,Y,0,,,,Y,Y,Y
97,IddqVnom_IqC08Ful_______LM10_006_st_end_FUNC,4,cat,Y,0,,,,Y,Y,Y
64,CTCS_START_Thermal,"2,5",cat,,,,,,Y,,
150,SpeedSortVert_TRANS_P08_1,"2,5",cat,,,,,,Y,,
118,ODP_NullDutTest,4,cat,Y,0,Y,,,Y,Y,Y
14,UpdateGuardBand,"2,5",cat,,,,,,Y,,
384,PB_PLL_TETRIS_1DO_VminSearch_st,4,cat,,0,Y,,,Y,Y,Y
98,IddqVnom_IqC08Ful_______LM10_006_st_CCE,5,cat,,,Y,,,Y,Y,
58,DISCONNECT_Conty,"2,5",cat,,,,,,Y,,
377,SAF_P00_P10_VminSearch_st,4,cat,,0,Y,,,Y,Y,Y
394,EndOfFlowThaw,4,cat,,0,Y,,,Y,Y,Y
206,SpeedSortVert_LED,"2,5",cat,,,,,,Y,,
