node_id,SuiteName,bypassed,stop_sbins,category_sbins,multi_sbins
44,PinShortsTestPerPin_st_nIForce_Even,,,1004,7
90,IddqVnom_IqC08Ful_______LM10_005_st_PM1_FUNC,,,1150,X_900
125,EfuseRunAutoload_st,,,1102,X_12
45,PinShortsTest_st_nIForce_Even,,,1004,7
227,LED_QMGR_AtSpeedSRVminOD_st,,,1271,X_15
82,IddqVmin1_IqC08Ful_______LM10_005_st_end_FUNC,Y,,1150,X_900
390,VerifyProgramVIDSpeeds,,,1104,1104
60,DieIDPostRead_st,,,1100,31
244,TRANS_P10_AtSpeedSRVminOD_st,,,1307,X_15
51,PinShortsTest_st_nIForce_Odd,,,1004,7
362,PB_PLL_VSKEW_AtSpeedVskewPhiOD_st,,,1414,X_15
370,PB_PLL_RTA_M0_1DO_FreqSearch_st,,,1491,X_15
207,LED_BCP_AtSpeedSRVminOD_st,,,1250,X_15
377,SAF_P00_P10_VminSearch_st,,,1490,X_15
394,EndOfFlowThaw,,,1061,X_989
254,PB_PLL_NSS_AtSpeedSRVminOD_st,,,1404,X_15
304,TRANS_Q06_AtSpeedVmaxOK_st,,,1374,X_15
146,TRANS_P08_AtSpeedSRVminOD_st,,,1303,X_15
157,PB_PLL_TETRIS_AtSpeedSRVminOD_st,,,1406,X_15
245,TRANS_Q04_AtSpeedSRVminOD_st,,,1308,X_15
249,TRANS_Q07_1_AtSpeedSRVminOD_st,,,1312,X_15
238,LED_USIM_AtSpeedSRVminOD_st,,,1284,X_15
34,CTCS_Read_st,,,1053,995|988
222,LED_MSMC_AtSpeedSRVminOD_st,,,1265,X_15
50,PinShortsTestPerPin_st_nIForce_Odd,,,1004,7
380,LED_TETRIS_VminSearch_st,,,1490,X_15
332,LED_MSMC_AtSpeedVmaxOK_st,,,1329,X_15
267,BRDG_ALL_FuncVmaxOK_st,,,1214,X_15
356,PHY_DRFE0_AtSpeedVmaxOK_st,Y,,1458,X_15
369,LED_GEM_XM_FreqSearch_st,,,1491,X_15
327,LED_I2C_AtSpeedVmaxOK_st,,,1324,X_15
139,SAF_ALL_2_FuncVmin_st,,,1212,X_15
201,PB_PLL_ROM_AtSpeedSRVminOD_st,,,1405,X_15
31,Thermal_init,,,1057,999
221,LED_MPU_AtSpeedSRVminOD_st,,,1264,X_15
269,CHAIN_SAF_FuncVmaxOK_st,,,1216,X_15
120,ODP_ViaTest,Y,,1013,
337,LED_PSC_AtSpeedVmaxOK_st,,,1334,X_15
220,LED_MMAP_AtSpeedSRVminOD_st,,,1263,X_15
