"FlakyPatternLabel","FlakyPatternCorner","FlakyInsertion","Suite name","Test name"
"yenageaa9000yz_ckmg0019_r","AtSpeedVmin","*","",""
"yenageaa9001yz_ckmg0019_r","AtSpeedVmax","*","",""
"yenageaa9001yz_ckmg0019_r","AtSpeedVmin","*","",""
"yenagrmb2001yz_ckmg0030_r","AtSpeedVmax","*","",""
"yenagrmb2001yz_ckmg0030_r","AtSpeedVmin","*","",""
"yenagrmb2005yz_ckmg0030_r","AtSpeedVmax","*","",""
"yenagrmb2005yz_ckmg0030_r","AtSpeedVmin","*","",""
"yenagrmb2008yz_ckmg0030_r","AtSpeedVmax","*","",""
"yenagrmb2008yz_ckmg0030_r","AtSpeedVmin","*","",""
"yenagse6434yz_ckmg0004_r","AtSpeedVmax","*","",""
"yenagse6434yz_ckmg0004_r","AtSpeedVmin","*","",""
"yenagse6470yz_ckmg0004_r","AtSpeedVmax","*","",""
"yenagse6470yz_ckmg0004_r","AtSpeedVmin","*","",""
"yenagse6472yz_ckmg0004_r","AtSpeedVmax","*","",""
"yenagse6472yz_ckmg0004_r","AtSpeedVmin","*","",""
"yenagse6474yz_ckmg0004_r","AtSpeedVmax","*","",""
"yenagse6474yz_ckmg0004_r","AtSpeedVmin","*","",""
"yenagse6475yz_ckmg0004_r","AtSpeedVmax","*","",""
"yenagse6475yz_ckmg0004_r","AtSpeedVmin","*","",""
"yenagse6476yz_ckmg0004_r","AtSpeedVmax","*","",""
"yenagse6476yz_ckmg0004_r","AtSpeedVmin","*","",""
"yenagse6478yz_ckmg0004_r","AtSpeedVmax","*","",""
"yenagse6478yz_ckmg0004_r","AtSpeedVmin","*","",""
"yenagudir5205yz_ckmg0000_r","AtSpeedVmax","*","",""
"yenagudir5205yz_ckmg0000_r","AtSpeedVmin","*","",""
"yempis1001b0_ckdg1000_r","AtSpeedVmax","*","",""
"yempis1001b0_ckdg1000_r","AtSpeedVmin","*","",""
"yempis1001a0_ckdg1000_r","AtSpeedVmax","*","",""
"yempis1001a0_ckdg1000_r","AtSpeedVmin","*","",""
"yempis1001c0_ckdg1000_r","AtSpeedVmax","*","",""
"yempis1001c0_ckdg1000_r","AtSpeedVmin","*","",""
"zimmmf0401a0_ckdg1000_r","AtSpeedVmax","*","",""
"zimmmf0401a0_ckdg1000_r","AtSpeedVmin","*","",""
"zimmmf0403a0_ckdg1000_r","AtSpeedVmax","*","",""
"zimmmf0403a0_ckdg1000_r","AtSpeedVmin","*","",""
