node_id,Bypassed,SuiteName,SoftBinNum,SoftBinName,HardBinName,BinNumber,BinSource,BinOveron(local),Testmethod,Kepler_TestNameTypelist_pg2.csv : FT_RPC_HT
81,Y,SupplyOpensTest_st,1003,OS_SHRT_VDD_F,F_OS,8,cat,,ti_tml.Digital.Functional,0
84,,CTCS_Start_st,992,F_CTCS_START,F_ERROR,7,multi,Y,ti_tml.Thermal.Thermal_Control,1
85,,CTCS_START_Thermal,MISSING BIN INFO,---,---,---,---,,ti_tml.Thermal.Thermal_Control,MISSING TestNameType ENTRY
87,,CTCS_Purge_CT_st -- CTCS_Short,987,F_CTCS_STAB,F_ERROR,7,multi,Y,ti_tml.Thermal.Thermal_Control,MISSING TestNameType ENTRY
87,,CTCS_Purge_CT_st -- CTCS_Purge_Flag_1 : CTCS_Purge_Flag_1_1 : CTCS_Purge_Flag_1_2 : CTCS_Purge_Flag_2 : CTCS_Purge_Flag_2_1 : CTCS_Purge_Flag_2_2 : PurgeTimeLimit : CTCS_Long : CTCS,994,F_CTCS_PURGE,F_ERROR,7,multi,Y,ti_tml.Thermal.Thermal_Control,MISSING TestNameType ENTRY
89,,CTCS_Purge_st -- CTCS_Short,987,F_CTCS_STAB,F_ERROR,7,multi,Y,ti_tml.Thermal.Thermal_Control,0
89,,CTCS_Purge_st -- CTCS_Purge_Flag_1 : CTCS_Purge_Flag_1_1 : CTCS_Purge_Flag_1_2 : CTCS_Purge_Flag_2 : CTCS_Purge_Flag_2_1 : CTCS_Purge_Flag_2_2 : PurgeTimeLimit : CTCS_Long : CTCS,994,F_CTCS_PURGE,F_ERROR,7,multi,Y,ti_tml.Thermal.Thermal_Control,0
91,,Thermo_Sensors_Calibration,1660,MISSING BIN INFO,---,---,cat,,ti_tml.Thermal.Thermal_Calibration,!1
92,,Thermo_Sensors_Read_Temperature,1662,TEMP_SENSOR_F,F_FUNC,7,cat,,ti_tml.Thermal.Thermal_Reading,1
93,,CTCS_Thermal,MISSING BIN INFO,---,---,---,---,,ti_tml.Thermal.Thermal_Control,MISSING TestNameType ENTRY
95,Y,ODP_RingOscTest_st,MISSING BIN INFO,---,---,---,---,,ti_tml.ODP.RingOscillator,MISSING TestNameType ENTRY
96,Y,NULLDUT_1,MISSING BIN INFO,---,---,---,---,,ti_tml.ODP.NullDutTest,MISSING TestNameType ENTRY
97,Y,XtrIdriveTest_CORE_HVT,MISSING BIN INFO,---,---,---,---,,ti_tml.ODP.XtrIdriveTest_usingCsv,MISSING TestNameType ENTRY
98,Y,XtrIdriveTest_CORE_SVT,MISSING BIN INFO,---,---,---,---,,ti_tml.ODP.XtrIdriveTest_usingCsv,MISSING TestNameType ENTRY
99,Y,XtrIdriveTest_CORE_LVT,MISSING BIN INFO,---,---,---,---,,ti_tml.ODP.XtrIdriveTest_usingCsv,MISSING TestNameType ENTRY
100,Y,XtrIdriveTest_1P5V_DUT,MISSING BIN INFO,---,---,---,---,,ti_tml.ODP.XtrIdriveTest_usingCsv,MISSING TestNameType ENTRY
101,Y,XtrIdriveTest_1P8V_DUT,MISSING BIN INFO,---,---,---,---,,ti_tml.ODP.XtrIdriveTest_usingCsv,MISSING TestNameType ENTRY
102,Y,XtrIdriveTest_SRAM,MISSING BIN INFO,---,---,---,---,,ti_tml.ODP.XtrIdriveTest_usingCsv,MISSING TestNameType ENTRY
103,Y,XtrVtTest,MISSING BIN INFO,---,---,---,---,,ti_tml.ODP.XtrVtTest,MISSING TestNameType ENTRY
104,Y,ODP_IcapTest_st,MISSING BIN INFO,---,---,---,---,,ti_tml.Digital.Functional,MISSING TestNameType ENTRY
107,,ReadVIDSpeeds,MISSING BIN INFO,---,---,---,---,,ti_tml.MCP.MCP_ReadVIDSpeeds,MISSING TestNameType ENTRY
108,,PreReadSrc0,MISSING BIN INFO,---,---,---,---,,ti_tml.SmartReflex.SR_PreReadSRc0,MISSING TestNameType ENTRY
111,,SetGlobalSRVoltages -- globalSR1VIDVoltage : globalSR2VIDVoltage : globalSRVIDVoltage : globalSR3VIDVoltage : SRV1_ICalc : SRV2_ICalc : M_Budget1_Value1 : B_Budget1_Value1 : I_budget1_0p8_1 : M_Budget2_Value2 : B_Budget2_Value2 : I_budget2_0p8_2 : I_budget1_1p0_1 : I_budget2_1p0_2 : B_value90_1 : B_value90_2 : M_value90_1 : M_value90_2 : B_value105_2 : M_value105_2 : VDDARR_IDDQ_Vnom_90C_ICalc_1 : VDD_IDDQ_Vnom_90C_ICalc_1 : VDD_IDDQ_Vmin_90C_ICalc_1 : VDDARR_IDDQ_Vnom_90C_ICalc_2 : VDD_IDDQ_Vnom_90C_ICalc_2 : VDD_IDDQ_Vmin_90C_ICalc_2 : VDDARR_IDDQ_Vnom_105C_ICalc_2 : VDD_IDDQ_Vnom_105C_ICalc_2 : VDD_IDDQ_Vmin_105C_ICalc_2 : TD_JB_IDDQ_TEMP : TD_JA_IDDQ_TEMP : TD_NB_IDDQ_TEMP : TD_NA_IDDQ_TEMP : VDD_Core_IDDQ_Vmin_PR_IMeas : VDD_Core_IDDQ_Vnom_PR_IMeas : VDDARR_IDDQ_Vnom_PR_IMeas : VDD_Core_IDDQ_Vmin2_FT_IMeas : VDD_Core_IDDQ_Vnom2_FT_IMeas : VDDARR_IDDQ_Vnom2_FT_IMeas : TD_LEAST_TEMP_IDDQ : globalSR1VminVoltage : globalSR2VminVoltage : globalSR3VminVoltage : BrdgVminVoltage,63,F_SMARTREFLEX,F_LEAK,11,multi,Y,ti_tml.SmartReflex.SR_setGlobalSRVoltage,MISSING TestNameType ENTRY
111,,SetGlobalSRVoltages -- IQS_NB_VDDCORE_P1_S1_Hardline : IQS_JB_VDDCORE_P1_Hardline : IQS_NB_VDDCORE_P1_Hardline : IQS_NB_VDDARR_P1_Hardline : IQS_NB_VDDRAM_P1_S1_Hardline : Invalid_SmartReflexVoltage,53,LEAK_IDDQ_N_Hardline_F,F_LEAK_HL,12,multi,Y,ti_tml.SmartReflex.SR_setGlobalSRVoltage,MISSING TestNameType ENTRY
114,,IddqVmin1_IqC08Ful_______KP20_000_st_PM1_FUNC,1592,FUNC_J_IDDQ_F,F_FUNC,13,cat,,ti_tml.Digital.Functional_cct,!1
115,,IddqVmin1_IqC08Ful_______KP20_000_st_PM1_MEAS,1593,LEAK_IDDQ_J_1_F,F_LEAK,12,cat,,ti_tml.DC.IDDQ_cct,1
116,Y,IddqVmin1_IqC08Ful_______KP20_000_st_end_FUNC,MISSING BIN INFO,---,---,---,---,,ti_tml.Digital.Functional_cct,1
117,,IddqVmin1_IqC08Ful_______KP20_000_st_CCE,MISSING BIN INFO,---,---,---,---,,ccf_tml.CCExecution,MISSING TestNameType ENTRY
119,,IddqVmin1_IqC08Ful_______KP20_001_st_PM1_FUNC,1592,FUNC_J_IDDQ_F,F_FUNC,13,cat,,ti_tml.Digital.Functional_cct,!1
120,,IddqVmin1_IqC08Ful_______KP20_001_st_PM1_MEAS,1594,LEAK_IDDQ_J_2_F,F_LEAK,12,cat,,ti_tml.DC.IDDQ_cct,1
121,Y,IddqVmin1_IqC08Ful_______KP20_001_st_end_FUNC,MISSING BIN INFO,---,---,---,---,,ti_tml.Digital.Functional_cct,1
122,,IddqVmin1_IqC08Ful_______KP20_001_st_CCE,MISSING BIN INFO,---,---,---,---,,ccf_tml.CCExecution,MISSING TestNameType ENTRY
124,,IddqVnom_IqC08Ful_______KP20_000_st_PM1_FUNC,1591,FUNC_K_IDDQ_F,F_FUNC,13,cat,,ti_tml.Digital.Functional_cct,!1
125,,IddqVnom_IqC08Ful_______KP20_000_st_PM1_MEAS,1597,LEAK_IDDQ_N_1_F,F_LEAK,12,cat,,ti_tml.DC.IDDQ_cct,1
126,Y,IddqVnom_IqC08Ful_______KP20_000_st_end_FUNC,MISSING BIN INFO,---,---,---,---,,ti_tml.Digital.Functional_cct,1
127,,IddqVnom_IqC08Ful_______KP20_000_st_CCE,MISSING BIN INFO,---,---,---,---,,ccf_tml.CCExecution,MISSING TestNameType ENTRY
129,Y,VDDRAM_IddqVnom_IqC08Ful_KP20_000_Hardline,53,LEAK_IDDQ_N_Hardline_F,F_LEAK_HL,12,multi,Y,ti_tml.Misc.Hardline_binning,MISSING TestNameType ENTRY
131,Y,VDDCORE_IddqVnom_IqC08Ful_KP20_000_Hardline,53,LEAK_IDDQ_N_Hardline_F,F_LEAK_HL,12,multi,Y,ti_tml.Misc.Hardline_binning,MISSING TestNameType ENTRY
133,,IddqVnom_IqC08Ful_______KP20_001_st_PM1_FUNC,1591,FUNC_K_IDDQ_F,F_FUNC,13,cat,,ti_tml.Digital.Functional_cct,!1
134,,IddqVnom_IqC08Ful_______KP20_001_st_PM1_MEAS,1598,LEAK_IDDQ_N_2_F,F_LEAK,12,cat,,ti_tml.DC.IDDQ_cct,1
135,Y,IddqVnom_IqC08Ful_______KP20_001_st_end_FUNC,MISSING BIN INFO,---,---,---,---,,ti_tml.Digital.Functional_cct,1
136,,IddqVnom_IqC08Ful_______KP20_001_st_CCE,MISSING BIN INFO,---,---,---,---,,ccf_tml.CCExecution,MISSING TestNameType ENTRY
138,Y,IddqVmax_IqC08Ful_______KP20_000_st_PM1_FUNC,MISSING BIN INFO,---,---,---,---,,ti_tml.Digital.Functional_cct,MISSING TestNameType ENTRY
139,Y,IddqVmax_IqC08Ful_______KP20_000_st_PM1_MEAS,MISSING BIN INFO,---,---,---,---,,ti_tml.DC.IDDQ_cct,MISSING TestNameType ENTRY
140,Y,IddqVmax_IqC08Ful_______KP20_000_st_end_FUNC,MISSING BIN INFO,---,---,---,---,,ti_tml.Digital.Functional_cct,MISSING TestNameType ENTRY
141,Y,IddqVmax_IqC08Ful_______KP20_000_st_CCE,MISSING BIN INFO,---,---,---,---,,ccf_tml.CCExecution,MISSING TestNameType ENTRY
143,Y,IddqVmax_IqC08Ful_______KP20_001_st_PM1_FUNC,MISSING BIN INFO,---,---,---,---,,ti_tml.Digital.Functional_cct,MISSING TestNameType ENTRY
144,Y,IddqVmax_IqC08Ful_______KP20_001_st_PM1_MEAS,MISSING BIN INFO,---,---,---,---,,ti_tml.DC.IDDQ_cct,MISSING TestNameType ENTRY
145,Y,IddqVmax_IqC08Ful_______KP20_001_st_end_FUNC,MISSING BIN INFO,---,---,---,---,,ti_tml.Digital.Functional_cct,MISSING TestNameType ENTRY
146,Y,IddqVmax_IqC08Ful_______KP20_001_st_CCE,MISSING BIN INFO,---,---,---,---,,ccf_tml.CCExecution,MISSING TestNameType ENTRY
149,,EfuseInitCheck_st,1608,FUSE_EfuseInitCheck_F,F_FUSE,10,cat,,ti_tml.Digital.Functional,1
150,Y,FuseChainAddr_st,MISSING BIN INFO,---,---,---,---,,ti_tml.Digital.Functional,MISSING TestNameType ENTRY
151,Y,EfuseRunAutoload_st,MISSING BIN INFO,---,---,---,---,,ti_tml.Digital.Functional,MISSING TestNameType ENTRY
154,,SRc0PowerTest,MISSING BIN INFO,---,---,---,---,,ti_tml.SmartReflex.SR_SRc0PowerTest,MISSING TestNameType ENTRY
159,,AdaptiveRepair,MISSING BIN INFO,---,---,---,---,,ti_tml.MemoryRepair.AdaptiveRepair,MISSING TestNameType ENTRY
162,,CTCS_START_FuncVmax,MISSING BIN INFO,---,---,---,---,,ti_tml.Thermal.Thermal_Control,MISSING TestNameType ENTRY
163,,SPT_VMAX_DOWN_HT,MISSING BIN INFO,---,---,---,---,,ti_tml.Thermal.Thermal_Control,MISSING TestNameType ENTRY
165,Y,CHAIN_SRCH_P00_PG_FuncVmaxFT_st,1022,FUNC_K_CHAIN_P00_F,F_FUNC,13,cat,,ti_tml.Digital.Functional,!0
166,Y,CHAIN_SRCH_P01_PG_FuncVmaxFT_st,1023,FUNC_K_CHAIN_P01_F,F_FUNC,13,cat,,ti_tml.Digital.Functional,!0
167,Y,CHAIN_SRCH_P02_PG_FuncVmaxFT_st,1024,FUNC_K_CHAIN_P02_F,F_FUNC,13,cat,,ti_tml.Digital.Functional,!0
