SoftBinNumber,SoftBinName,HardBinName,HardBinNumber
1179,FUNC_K_LED_MSMC_F,F_FUNC_SPEED,14
1180,FUNC_K_LED_PA_F,F_FUNC_SPEED,14
1181,FUNC_K_LED_PCIE_F,F_FUNC_SPEED,14
1182,FUNC_K_LED_PHY_AIF_F,F_FUNC_SPEED,14
1184,FUNC_K_LED_ACPHY_DDR_F,F_FUNC_SPEED,14
1186,FUNC_K_LED_PHY_PCIE_F,F_FUNC_SPEED,14
1187,FUNC_K_LED_PHY_SGMII_F,F_FUNC_SPEED,14
1188,FUNC_K_LED_PHY_SRIO_F,F_FUNC_SPEED,14
1189,FUNC_K_LED_PHY_VUSR_F,F_FUNC_SPEED,14
1190,FUNC_K_LED_PHY_XGE_F,F_FUNC_SPEED,14
1191,FUNC_K_LED_PLLCTRL_F,F_FUNC_SPEED,14
1192,FUNC_K_LED_PSC_F,F_FUNC_SPEED,14
1194,FUNC_K_LED_QMSS_F,F_FUNC_SPEED,14
1195,FUNC_K_LED_RAC_F,F_FUNC_SPEED,14
1196,FUNC_K_LED_SEC_F,F_FUNC_SPEED,14
1197,FUNC_K_LED_SM2_F,F_FUNC_SPEED,14
1198,FUNC_K_LED_SPI_F,F_FUNC_SPEED,14
1199,FUNC_K_LED_SRIO_F,F_FUNC_SPEED,14
1200,FUNC_K_LED_SRSS_F,F_FUNC_SPEED,14
1201,FUNC_K_LED_TAC_F,F_FUNC_SPEED,14
1202,FUNC_K_LED_TCP_F,F_FUNC_SPEED,14
1203,FUNC_K_LED_TIMER_F,F_FUNC_SPEED,14
1204,FUNC_K_LED_TRACER_F,F_FUNC_SPEED,14
1205,FUNC_K_LED_UART_F,F_FUNC_SPEED,14
1206,FUNC_K_LED_USB_F,F_FUNC_SPEED,14
1207,FUNC_K_LED_USIM_F,F_FUNC_SPEED,14
1208,FUNC_K_LED_VCP_F,F_FUNC_SPEED,14
1209,FUNC_K_LED_VUSR_F,F_FUNC_SPEED,14
1210,FUNC_K_LED_XGE_F,F_FUNC_SPEED,14
1211,FUNC_K_LED_SGMII_F,F_FUNC_SPEED,14
1212,FUNC_K_LED_PHY_USB_F,F_FUNC_SPEED,14
1213,FUNC_K_LED_OTHERS_F,F_FUNC_SPEED,14
1215,FUNC_J_CHAIN_P00_F,F_FUNC,13
1216,FUNC_J_CHAIN_P01_F,F_FUNC,13
1217,FUNC_J_CHAIN_P02_F,F_FUNC,13
1218,FUNC_J_CHAIN_P03_F,F_FUNC,13
1219,FUNC_J_CHAIN_P04_F,F_FUNC,13
1220,FUNC_J_CHAIN_P05_F,F_FUNC,13
1221,FUNC_J_CHAIN_P06_F,F_FUNC,13
1222,FUNC_J_CHAIN_P07_F,F_FUNC,13
1223,FUNC_J_CHAIN_P08_F,F_FUNC,13
1224,FUNC_J_CHAIN_P09_F,F_FUNC,13
1225,FUNC_J_CHAIN_P10_F,F_FUNC,13
1226,FUNC_J_CHAIN_DFTSS_F,F_FUNC,13
1227,FUNC_J_CHAIN_PWRSWT_F,F_FUNC,13
1228,FUNC_J_SAF_P00_F,F_FUNC,13
1229,FUNC_J_SAF_P01_F,F_FUNC,13
1230,FUNC_J_SAF_P02_F,F_FUNC,13
1231,FUNC_J_SAF_P03_F,F_FUNC,13
1232,FUNC_J_SAF_P04_F,F_FUNC,13
1233,FUNC_J_SAF_P05_F,F_FUNC,13
1234,FUNC_J_SAF_P06_F,F_FUNC,13
1235,FUNC_J_SAF_P07_F,F_FUNC,13
1236,FUNC_J_SAF_P08_F,F_FUNC,13
1237,FUNC_J_SAF_P09_F,F_FUNC,13
1238,FUNC_J_SAF_P10_F,F_FUNC,13
1239,FUNC_J_SAF_DFTSS_F,F_FUNC,13
1240,FUNC_J_SAF_PWRSWT_F,F_FUNC,13
1241,FUNC_J_SAF_FULCHP_F,F_FUNC,13
1242,FUNC_J_BRDG_P00_F,F_FUNC,13
1243,FUNC_J_BRDG_P01_F,F_FUNC,13
1244,FUNC_J_BRDG_P02_F,F_FUNC,13
1245,FUNC_J_BRDG_P03_F,F_FUNC,13
1246,FUNC_J_BRDG_P04_F,F_FUNC,13
1247,FUNC_J_BRDG_P05_F,F_FUNC,13
1248,FUNC_J_BRDG_P06_F,F_FUNC,13
1249,FUNC_J_BRDG_P07_F,F_FUNC,13
1250,FUNC_J_BRDG_P08_F,F_FUNC,13
1251,FUNC_J_BRDG_P09_F,F_FUNC,13
1252,FUNC_J_BRDG_P10_F,F_FUNC,13
1253,FUNC_J_BRDG_FULCHP_F,F_FUNC,13
1254,FUNC_M_TRANS_P01_F,F_FUNC_SPEED,14
1255,FUNC_M_TRANS_P02_F,F_FUNC_SPEED,14
1256,FUNC_M_TRANS_P03_F,F_FUNC_SPEED,14
1257,FUNC_M_TRANS_P04_F,F_FUNC_SPEED,14
1258,FUNC_M_TRANS_P05_F,F_FUNC_SPEED,14
1259,FUNC_M_TRANS_P06_F,F_FUNC_SPEED,14
1260,FUNC_M_TRANS_P07_F,F_FUNC_SPEED,14
