CheckIndex,CheckType,CheckDescription
0,set_pass OR set_fail,ERROR: These testsuite flags CAN break Category binning.
1,"InTestflow AND Bypassed AND NOT Bang (""!"") AND TT=1",ERROR: Major problem here.  Causes Bin 13.
2,InTestflow AND NOT InCategories,"ERROR: All Testsuites in this file use Category binning. (no stop bin or multi bin ""downstream"")."
3,NOT InTestflow AND TT=1,"WARNING: This testsuite MUST be in your flow (TT=1) even if bypassed, but it's not. Why?"
4,InTestflow AND TT=0,"WARNING: Potential test escape.  If this testsuite fails, you will not know."
5,InTestflow AND NOT InTestTypes,"WARNING: Defaults to ""1"" but you should probably add it to TestTypes to be explicit."
--------------------------------------
node_id,Suite,FailedChecks,BinSource,Bypassed?,TestTypeValue : FT_RPC_HT,"Bang? (""!"")",set_pass?,set_fail?,InTestflow?,InCategories?,InTestTypes?
1640,P_SRCH_S4A_G2_2DO_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
1502,P_SRCH_RTA_G3_1PR_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
165,CHAIN_SRCH_P00_PG_FuncVmaxFT_st,4,cat,Y,0,Y,,,Y,Y,Y
1385,P_SRCH_2PR_AA_3DO_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
185,SAF_SRCH_P09_PG_FuncVmaxFT_st,4,cat,Y,0,Y,,,Y,Y,Y
1601,P_SRCH_S4A_AA_1PR_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
2694,LED_SRCH_GEM_PG_AtSpeedVmax_st,4,cat,Y,0,Y,,,Y,Y,Y
3226,LED_MSMC_AG_PG_VminSearch_st,4,cat,Y,0,Y,,,Y,Y,Y
,IddqVnom_burnin_bin4,3,cat,Y,1,Y,,,,Y,Y
3257,HAFTAA_RTA_PG_VminSearch_st,4,cat,,0,Y,,,Y,Y,Y
982,LED_EDMA_PG_AtSpeedVmin_st,4,cat,,0,Y,,,Y,Y,Y
3405,S1R_T0_1DO_PG_FreqSearch_st_eng2,"2,5",cat,,,,,,Y,,
3361,TFTOutlierScreen_pg2,"2,5",cat,,,,,,Y,,
1766,P_SRCH_SSP_M0_1DO_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
,VIDSpeedOutOfSpace_st,3,cat,Y,1,Y,,,,Y,Y
3359,TRANS_P10_C1_PG_FreqSearch_st,4,cat,,0,Y,,,Y,Y,Y
1661,P_SRCH_S4A_G4_1PR_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
2687,LED_AIF_PG_AtSpeedVmax_st,4,cat,Y,0,Y,,,Y,Y,Y
3332,LED_DDR_DATAPHY_E_B_PG_FreqSearch_st,4,cat,Y,0,Y,,,Y,Y,Y
1475,P_SRCH_RTA_AA_1DO_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
162,CTCS_START_FuncVmax,"2,5",cat,,,,,,Y,,
