"GroupName","InstName","CTLR","Chain","FROM","RowStart","ColStart","RowStop","ColStop","RowSize","InstBits","MemIndex","PreRead","ECC","Protect","Repair","BitMask","BitOrder","InstData","Test name","Suite name"
"","EF_RESERVED_5","1","0","0","103","12","103","12","25","1","","","","","","","","","",""
"","EF_DISABLE_BCP","1","0","0","103","13","103","13","25","1","","","","","","","","","",""
"","EF_DISABLE_DFE_DPD","1","0","0","103","14","103","14","25","1","","","","","","","","","",""
"","EF_DISABLE_FFTC_B","1","0","0","103","15","103","15","25","1","","","","","","","","","",""
"","EF_DISABLE_CPRI","1","0","0","103","16","103","16","25","1","","","","","","","","","",""
"","EF_RESERVED_6","1","0","0","103","17","103","17","25","1","","","","","","","","","",""
"","EF_DISABLE_TETRIS","1","0","0","103","18","103","18","25","1","","","","","","","","","",""
"","EF_DISABLE_ARMCORE0","1","0","0","103","19","103","19","25","1","","","","","","","","","",""
"","EF_DISABLE_ARMCORE1","1","0","0","103","20","103","20","25","1","","","","","","","","","",""
"","EF_RESERVED_7","1","0","0","103","21","103","22","25","2","","","","","","","","","",""
"","PBIST","1","0","0","103","23","104","15","25","18","1012","","","","","","","","",""
"","PBIST","1","0","0","104","16","105","8","25","18","1068","","","","","","","","",""
"","PBIST","1","0","0","105","9","106","1","25","18","1016","","","","","","","","",""
"","PBIST","1","0","0","106","2","106","19","25","18","1030","","","","","","","","",""
"","PBIST","1","0","0","106","20","107","12","25","18","1147","","","","","","","","",""
"","PBIST","1","0","0","107","13","110","9","25","72","356","","","","","","","","",""
"","PBIST","1","0","0","110","10","113","6","25","72","355","","","","","","","","",""
"","PBIST","1","0","0","113","7","116","3","25","72","368","","","","","","","","",""
"","PBIST","1","0","0","116","4","119","0","25","72","367","","","","","","","","",""
"","PBIST","1","0","0","119","1","121","22","25","72","1517","","","","","","","","",""
"","PBIST","1","0","0","121","23","124","19","25","72","1516","","","","","","","","",""
"","PBIST","1","0","0","124","20","127","16","25","72","1529","","","","","","","","",""
"","PBIST","1","0","0","127","17","127","24","25","72","1528","","","","","","","","",""
"","TIRepairRow","1","","1","0","0","0","24","25","25","","","","","","","","","",""
"","TIRepairRow","1","","1","1","0","1","24","25","25","","","","","","","","","",""
"","TIRepairRow","1","","1","2","0","2","24","25","25","","","","","","","","","",""
"","TIRepairRow","1","","1","3","0","3","24","25","25","","","","","","","","","",""
"","PBIST","1","0","1","4","0","6","13","25","72","1528","","","","","","","","",""
"","PBIST","1","0","1","6","14","7","6","25","18","866","","","","","","","","",""
"","PBIST","1","0","1","7","7","7","24","25","18","871","","","","","","","","",""
"","PBIST","1","0","1","8","0","8","17","25","18","767","","","","","","","","",""
"","PBIST","1","0","1","8","18","9","10","25","18","780","","","","","","","","",""
"","PBIST","1","0","1","9","11","10","3","25","18","824","","","","","","","","",""
"","PBIST","1","0","1","10","4","10","21","25","18","868","","","","","","","","",""
"","PBIST","1","0","1","10","22","11","14","25","18","829","","","","","","","","",""
"","PBIST","1","0","1","11","15","12","7","25","18","734","","","","","","","","",""
"","PBIST","1","0","1","12","8","13","0","25","18","858","","","","","","","","",""
"","PBIST","1","0","1","13","1","13","18","25","18","839","","","","","","","","",""
"","PBIST","1","0","1","13","19","14","11","25","18","862","","","","","","","","",""
"","PBIST","1","0","1","14","12","15","4","25","18","733","","","","","","","","",""
"","PBIST","1","0","1","15","5","15","22","25","18","772","","","","","","","","",""
"","PBIST","1","0","1","15","23","16","15","25","18","779","","","","","","","","",""
"","PBIST","1","0","1","16","16","17","8","25","18","838","","","","","","","","",""
"","PBIST","1","0","1","17","9","18","1","25","18","773","","","","","","","","",""
"","PBIST","1","0","1","18","2","18","19","25","18","795","","","","","","","","",""
"","PBIST","1","0","1","18","20","19","12","25","18","718","","","","","","","","",""
"","PBIST","1","0","1","19","13","20","5","25","18","791","","","","","","","","",""
"","PBIST","1","0","1","20","6","20","23","25","18","724","","","","","","","","",""
"","PBIST","1","0","1","20","24","21","16","25","18","816","","","","","","","","",""
"","PBIST","1","0","1","21","17","22","9","25","18","735","","","","","","","","",""
"","PBIST","1","0","1","22","10","23","2","25","18","797","","","","","","","","",""
"","PBIST","1","0","1","23","3","23","20","25","18","737","","","","","","","","",""
"","PBIST","1","0","1","23","21","24","13","25","18","790","","","","","","","","",""
"","PBIST","1","0","1","24","14","25","6","25","18","763","","","","","","","","",""
"","PBIST","1","0","1","25","7","25","24","25","18","828","","","","","","","","",""
"","PBIST","1","0","1","26","0","26","17","25","18","800","","","","","","","","",""
"","PBIST","1","0","1","26","18","27","10","25","18","851","","","","","","","","",""
"","PBIST","1","0","1","27","11","28","3","25","18","808","","","","","","","","",""
"","PBIST","1","0","1","28","4","28","21","25","18","821","","","","","","","","",""
"","PBIST","1","0","1","28","22","29","14","25","18","748","","","","","","","","",""
"","PBIST","1","0","1","29","15","30","7","25","18","722","","","","","","","","",""
"","PBIST","1","0","1","30","8","31","0","25","18","719","","","","","","","","",""
"","PBIST","1","0","1","31","1","31","18","25","18","753","","","","","","","","",""
"","PBIST","1","0","1","31","19","32","11","25","18","747","","","","","","","","",""
"","PBIST","1","0","1","32","12","33","4","25","18","834","","","","","","","","",""
"","PBIST","1","0","1","33","5","33","22","25","18","819","","","","","","","","",""
"","PBIST","1","0","1","33","23","34","15","25","18","752","","","","","","","","",""
"","PBIST","1","0","1","34","16","35","8","25","18","842","","","","","","","","",""
"","PBIST","1","0","1","35","9","36","1","25","18","742","","","","","","","","",""
"","PBIST","1","0","1","36","2","36","19","25","18","760","","","","","","","","",""
"","PBIST","1","0","1","36","20","37","12","25","18","827","","","","","","","","",""
"","PBIST","1","0","1","37","13","38","5","25","18","787","","","","","","","","",""
"","PBIST","1","0","1","38","6","38","23","25","18","801","","","","","","","","",""
"","PBIST","1","0","1","38","24","39","16","25","18","749","","","","","","","","",""
